"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL","YYYY_MM"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2013,10,231944177.00,238310592.00,23779382.00,25056350.00,"2013-10"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2013,11,254719866.00,261486722.00,22775689.00,23176130.00,"2013-11"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2013,12,277093944.00,284662852.00,22374078.00,23176130.00,"2013-12"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,1,21135000.33,20747317.00,21135000.33,20747317.00,"2014-01"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,2,40967000.42,39449020.00,19832000.09,18701703.00,"2014-02"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,3,64393000.36,62880587.00,23425999.94,23431567.00,"2014-03"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,4,87804000.57,86715360.00,23411000.21,23834773.00,"2014-04"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,5,112970000.83,112388851.00,25166000.26,25673491.00,"2014-05"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,6,137868000.67,137771012.00,24897999.84,25382161.00,"2014-06"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,7,162501000.63,163219359.00,24632999.95,25448347.00,"2014-07"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,8,187630000.19,189176211.00,25128999.57,25956852.00,"2014-08"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,9,211328000.36,213668882.00,23698000.17,24492671.00,"2014-09"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,10,235371000.73,238161553.00,24043000.38,24492671.00,"2014-10"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,11,258547000.64,261522570.00,23175999.91,23361017.00,"2014-11"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2014,12,281570000.16,285705092.00,23022999.52,24182522.00,"2014-12"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,1,0,20983289.00,0,20983289.00,"2015-01"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,2,0,40966968.00,0,19983679.00,"2015-02"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,3,0,64803613.00,0,23836645.00,"2015-03"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,4,0,89628670.00,0,24825057.00,"2015-04"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,5,0,116149292.00,0,26520622.00,"2015-05"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,6,0,142289951.00,0,26140659.00,"2015-06"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,7,0,169190944.00,0,26900993.00,"2015-07"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,8,0,196367828.00,0,27176884.00,"2015-08"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,9,0,221548490.00,0,25180662.00,"2015-09"
80231,0,"Bridges and Tunnels","Total Traffic","The number of vehicles that pass through toll booths using either E-ZPass or cash as payment.","Service Indicators","M","U","-",0,2015,10,0,247769552.00,0,26221062.00,"2015-10"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,1,2.70,2.24,2.70,2.24,"2008-01"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,2,2.70,1.54,2.70,.79,"2008-02"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,3,2.70,1.62,2.70,1.76,"2008-03"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,4,2.70,1.53,2.70,1.24,"2008-04"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,5,2.70,1.66,2.70,2.18,"2008-05"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,6,2.70,1.85,2.70,2.61,"2008-06"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,7,2.70,1.92,2.70,2.38,"2008-07"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,8,2.70,1.99,2.70,2.46,"2008-08"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,9,2.70,2.03,2.70,2.30,"2008-09"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,10,2.70,2.06,2.70,2.32,"2008-10"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,11,2.70,2.02,2.70,1.59,"2008-11"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,12,2.70,2.05,2.70,2.40,"2008-12"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,1,1.95,2.33,1.95,2.33,"2009-01"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,2,1.95,2.86,1.95,3.37,"2009-02"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,3,1.95,2.75,1.95,2.58,"2009-03"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,4,1.95,2.70,1.95,2.55,"2009-04"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,5,1.95,2.46,1.95,1.64,"2009-05"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,6,1.95,2.39,1.95,1.98,"2009-06"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,7,1.95,2.34,1.95,2.10,"2009-07"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,8,1.95,2.50,1.95,3.72,"2009-08"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,9,1.95,2.49,1.95,2.43,"2009-09"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,10,1.95,2.41,1.95,1.76,"2009-10"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,11,1.95,2.32,1.95,1.30,"2009-11"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,12,1.95,2.30,1.95,2.08,"2009-12"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,1,1.95,3.88,1.95,3.88,"2010-01"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,2,1.95,2.94,1.95,2.28,"2010-02"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,3,1.95,2.64,1.95,2.02,"2010-03"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,4,1.95,2.60,1.95,2.47,"2010-04"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,5,1.95,2.47,1.95,2.02,"2010-05"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,6,1.95,2.44,1.95,2.30,"2010-06"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,7,1.95,2.52,1.95,2.94,"2010-07"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,8,1.95,2.79,1.95,4.98,"2010-08"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,9,1.95,2.80,1.95,2.82,"2010-09"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,10,1.95,2.77,1.95,2.55,"2010-10"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,11,1.95,2.76,1.95,2.67,"2010-11"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,12,1.95,2.77,1.95,2.90,"2010-12"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,1,2.25,4.65,2.25,4.65,"2011-01"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,2,2.25,3.61,2.25,2.50,"2011-02"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,3,2.25,3.36,2.25,2.93,"2011-03"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,4,2.25,3.39,2.25,3.48,"2011-04"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,5,2.25,3.04,2.25,1.66,"2011-05"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,6,2.25,2.98,2.25,2.71,"2011-06"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,7,2.25,2.90,2.25,2.38,"2011-07"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,8,2.25,2.88,2.25,2.80,"2011-08"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,9,2.25,2.92,2.25,3.19,"2011-09"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,10,2.25,2.93,2.25,2.99,"2011-10"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,11,2.25,2.89,2.25,2.51,"2011-11"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,12,2.25,2.90,2.25,3.09,"2011-12"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,1,2.38,1.48,2.38,1.48,"2012-01"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,2,2.38,1.26,2.38,1.02,"2012-02"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,3,2.38,1.62,2.38,2.28,"2012-03"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,4,2.38,1.74,2.38,2.11,"2012-04"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,5,2.38,2.09,2.38,3.41,"2012-05"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,6,2.38,2.33,2.38,3.50,"2012-06"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,7,2.38,2.48,2.38,3.37,"2012-07"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,8,2.38,2.52,2.38,2.85,"2012-08"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,9,2.38,2.61,2.38,3.32,"2012-09"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,10,2.38,2.60,2.38,2.56,"2012-10"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,11,2.38,2.57,2.38,2.23,"2012-11"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2012,12,2.38,2.61,2.38,3.06,"2012-12"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,1,2.47,2.16,2.47,2.16,"2013-01"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,2,2.47,2.26,2.47,2.37,"2013-02"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,3,2.47,2.48,2.47,2.90,"2013-03"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,4,2.47,2.74,2.47,3.41,"2013-04"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,5,2.47,2.66,2.47,2.34,"2013-05"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,6,2.47,2.99,2.47,4.86,"2013-06"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,7,2.47,3.15,2.47,4.04,"2013-07"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,8,2.47,3.13,2.47,2.99,"2013-08"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,9,2.47,3.08,2.47,2.72,"2013-09"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,10,2.47,3.08,2.47,3.04,"2013-10"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,11,2.47,3.06,2.47,2.89,"2013-11"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2013,12,2.47,3.08,2.47,3.24,"2013-12"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2014,1,2.60,3.36,2.60,3.36,"2014-01"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2014,2,2.60,4.27,2.60,5.30,"2014-02"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2014,3,2.60,4.03,2.60,3.56,"2014-03"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2014,4,2.60,3.94,2.60,3.70,"2014-04"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2014,5,2.60,3.91,2.60,3.81,"2014-05"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2014,6,2.60,3.97,2.60,4.23,"2014-06"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2014,7,2.60,3.97,2.60,3.99,"2014-07"
